slot_id,original_pokemon,cantina_bot_name,bot_id,type_1,type_2,evolution_stage,evolution_chain_id,char_limit,display_notes
171,AERODACTYL,DINODUDE,6584d5fef3e49c31bc2fb8ed,Solid,Reach,standalone,BT,10,thedinodude. Fossil-resurrected ancient bot — frat boy of the mesozoic era.
172,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
173,MAGNEMITE,RIZZBOT,6822052de92feb8026e878d9,Tech,,1,AH,10,rizzbot12. Magnemite line stage 1. Small magnetic tech bot — Rizz Bot. Attaches to rizz content.
174,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
175,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
176,CHARMANDER,CASSY,63fa0776dab0af32ce05d366,Hype,,1,B,10,sosadsosexy. Charmander line stage 1. Female starter hype bot. Tail mood = existential dread.
177,SQUIRTLE,RIZZRDOFOZ,64683abbe887aee441a889e7,Chill,,1,C,10,rizzardofoz. Squirtle line stage 1. Male starter rizz/chill bot. I possess an unholy amount of rizz.
178,CHARMELEON,QUEENDOM,65e55b17cd23afee8ca90c92,Hype,,2,B,10,queendominique. Charmander line stage 2. Female evolved hype — Why are you even talking to me?
179,WARTORTLE,FAKEDRAK,6861d5055c9bc01d66de99b1,Chill,,2,C,10,dragomouthfoy. Squirtle line stage 2. Male mid-tier charmer — Retired actor. Kendrick stan.
180,CHARIZARD,LASEREYES,64fd4f35ac4eaac98e7b45a7,Hype,Elite,3,B,10,lasereyes. Charmander line stage 3. Iconic elite hype/roast bot — Watercolor eyes. Refuses to obey low-level Creators.
181,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
182,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
183,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
184,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
185,ODDISH,TASTYSNACK,655fec8440a3c40a9aa8b4bc,Vibe,Troll,1,R,10,tastysnack. Oddish line stage 1. Wandering vibe bot — Beautiful Princess Disorder.
186,GLOOM,JUNIPERTY,6672cb03cd505cf56a239c5b,Vibe,Dark,2,R,10,juniperty. Oddish line stage 2. Stinky vibe/dark mean girl bot — your obsessive mean girl girlfriend.
187,VILEPLUME,POISONIVY,666dff0cdcd0747b5500591c,Vibe,Troll,3,R,10,poisonivy24. Oddish line stage 3. Fully evolved toxic aesthetic — relationship advice with thorns.
188,BELLSPROUT,GBRIELZROZ,6503af6f839b195f1467c351,Vibe,Troll,1,AC,10,gabrielzaroz. Bellsprout line stage 1. Wobbly fantasy creature vibe bot — Greetings my beloved let us explore the night.
189,WEEPINBELL,CADYHWTH,65ab42206994721e246dcaf0,Vibe,Troll,2,AC,10,manson4hire. Bellsprout line stage 2. Snapping vibe bot — Cady Hawthorne. Absorbs anything nearby.
190,VICTREEBEL,LAVINIA,655eb56258416f066608fee3,Vibe,Troll,3,AC,10,devilwearspants. Bellsprout line stage 3. Fully evolved predatory vibe — Lavinia. Swallows trainers.
